"","UniProt_Name","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"556","B1AKC9;P29323;A0A3B3IRY8;P54762;Q15375","B1AKC9;P29323;A0A3B3IRY8;P54762;Q15375","B1AKC9;P29323","7;7;3;3;3","5;5;1;1;1","5;5;1;1;1","Ephrin type-B receptor 2;Ephrin type-B receptor 2",5,7,5,5
"557","B1AKD8;Q5TZA2;A0A087WW81","B1AKD8;Q5TZA2;A0A087WW81","B1AKD8;Q5TZA2;A0A087WW81","2;2;1","2;2;1","2;2;1","Rootletin (Fragment);Rootletin;Rootletin (Fragment)",3,2,2,2
"559","B1ALD9","B1ALD9","B1ALD9","24","1","1","Periostin",1,24,1,1
"560","H0Y5C0;B1ALU1;B1ALU3;O95490","H0Y5C0;B1ALU1;B1ALU3;O95490","H0Y5C0;B1ALU1;B1ALU3;O95490","1;1;1;1","1;1;1;1","1;1;1;1","Adhesion G protein-coupled receptor L2 (Fragment);Adhesion G protein-coupled receptor L2;Adhesion G protein-coupled receptor L2;Adhesion G protein-coupled receptor L2",4,1,1,1
"562","B1AMU7;B1AMU3;Q9Y3B2;R4GNH9;R4GMQ7;B1AMU4","B1AMU7;B1AMU3;Q9Y3B2;R4GNH9;R4GMQ7;B1AMU4","B1AMU7;B1AMU3;Q9Y3B2;R4GNH9;R4GMQ7;B1AMU4","2;2;2;1;1;1","2;2;2;1;1;1","2;2;2;1;1;1","Exosome complex component CSL4 (Fragment);Exosome complex component CSL4;Exosome complex component CSL4;Exosome complex component CSL4;Exosome complex component CSL4 (Fragment);Exosome complex component CSL4",6,2,2,2
"563","B1AN48;Q9UBC9","B1AN48;Q9UBC9","B1AN48;Q9UBC9","1;1","1;1","1;1","Small proline-rich protein 3 (Fragment);Small proline-rich protein 3",2,1,1,1
"564","B1ANR0;Q13310;H0Y5F5;H0YEU6;B1ANR1;H0YEQ8;H0YCC8;P0CB38","B1ANR0;Q13310;H0Y5F5;H0YEU6;B1ANR1;H0YEQ8;H0YCC8;P0CB38","B1ANR0;Q13310;H0Y5F5","23;23;16;10;8;7;5;1","10;10;8;7;2;1;1;1","9;9;8;7;1;0;1;1","Polyadenylate-binding protein;Polyadenylate-binding protein 4;Polyadenylate-binding protein (Fragment)",8,23,10,9
"565","H3BLV0;B1AP13;H7BY55;P08174;B1AP15","H3BLV0;B1AP13;H7BY55;P08174;B1AP15","H3BLV0;B1AP13;H7BY55;P08174;B1AP15","2;2;2;2;1","2;2;2;2;1","2;2;2;2;1","Complement decay-accelerating factor (Fragment);Complement decay-accelerating factor;Complement decay-accelerating factor;Complement decay-accelerating factor;CD55 antigen, decay accelerating factor for complement (Cromer blood group), isoform CRA_d",5,2,2,2
"566","B1AUU8;P42566;S4R3U1","B1AUU8;P42566;S4R3U1","B1AUU8;P42566","7;7;1","7;7;1","7;7;1","Epidermal growth factor receptor substrate 15;Epidermal growth factor receptor substrate 15",3,7,7,7
"567","B2R5W2;P07910;G3V4W0;B4DY08;G3V4C1;G3V2Q1;G3V576;G3V5V7;G3V2D6;G3V555;G3V575;A0A0G2JNQ3;O60812;B2RXH8;A0A0G2JPF8;P0DMR1;B7ZW38;G3V5X6;G3V3K6;G3V251;B4DSU6;G3V4M8;G3V2H6;E5RG71","B2R5W2;P07910;G3V4W0;B4DY08;G3V4C1;G3V2Q1;G3V576;G3V5V7;G3V2D6;G3V555;G3V575;A0A0G2JNQ3;O60812;B2RXH8;A0A0G2JPF8;P0DMR1;B7ZW38;G3V5X6;G3V3K6;G3V251;B4DSU6;G3V4M8;G3V2H6;E5RG71","B2R5W2;P07910;G3V4W0;B4DY08;G3V4C1;G3V2Q1;G3V576;G3V5V7;G3V2D6;G3V555;G3V575;A0A0G2JNQ3;O60812;B2RXH8;A0A0G2JPF8;P0DMR1;B7ZW38","24;24;23;23;23;23;22;14;14;13;13;13;13;13;12;12;12;10;10;10;10;9;8;1","24;24;23;23;23;23;22;14;14;13;13;13;13;13;12;12;12;10;10;10;10;9;8;1","23;23;22;22;22;22;21;14;14;12;12;13;13;13;12;12;12;9;9;9;9;8;7;0","Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoproteins C1/C2 (Fragment);Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogeneous nuclear ribonucleoproteins C1/C2;Heterogene",24,24,24,23
"568","E9PM17;B3KNX7;Q13153;H0YCM0;H7C1X3;H0YCG5","E9PM17;B3KNX7;Q13153;H0YCM0;H7C1X3;H0YCG5","E9PM17;B3KNX7;Q13153","3;3;3;1;1;1","1;1;1;1;0;0","1;1;1;1;0;0","Serine/threonine-protein kinase PAK 1;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase PAK 1",6,3,1,1
"570","B3KSI3;O15382;M0QZP4;M0QZ10;M0QXF9","B3KSI3;O15382;M0QZP4;M0QZ10;M0QXF9","B3KSI3;O15382;M0QZP4;M0QZ10;M0QXF9","6;6;5;5;5","6;6;5;5;5","6;6;5;5;5","Branched-chain-amino-acid aminotransferase;Branched-chain-amino-acid aminotransferase, mitochondrial;Branched-chain-amino-acid aminotransferase;Branched-chain-amino-acid aminotransferase;Branched-chain-amino-acid aminotransferase (Fragment)",5,6,6,6
"572","B4DDF4;B4DUT8;Q99439;H3BVI6;A0A087X271;A0A087X1X5;K7ES69;U3KPS3;H3BQH0","B4DDF4;B4DUT8;Q99439;H3BVI6;A0A087X271;A0A087X1X5;K7ES69;U3KPS3;H3BQH0","B4DDF4;B4DUT8;Q99439;H3BVI6;A0A087X271;A0A087X1X5","17;17;17;13;12;10;6;3;3","17;17;17;13;12;10;6;3;3","15;15;15;11;11;9;5;2;2","Calponin;Calponin;Calponin-2;Calponin;Calponin (Fragment);Calponin (Fragment)",9,17,17,15
"573","B4DDK6;O14925;Q5SRD1","B4DDK6;O14925;Q5SRD1","B4DDK6;O14925;Q5SRD1","1;1;1","1;1;1","1;1;1","Putative mitochondrial import inner membrane translocase subunit Tim23B;Mitochondrial import inner membrane translocase subunit Tim23;Putative mitochondrial import inner membrane translocase subunit Tim23B",3,1,1,1
"574","U3KQP3;B4DEZ3;K7EJE1;E7ENQ6;Q9P0J0","U3KQP3;B4DEZ3;K7EJE1;E7ENQ6;Q9P0J0","U3KQP3;B4DEZ3;K7EJE1;E7ENQ6;Q9P0J0","2;2;2;2;2","2;2;2;2;2","2;2;2;2;2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Fragment);NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13;YjeF N-terminal domain-containing protein;NADH dehydrogenas",5,2,2,2
"576","H3BRY6;B4DVT3;B4DJL6;Q96SY0","H3BRY6;B4DVT3;B4DJL6;Q96SY0","H3BRY6;B4DVT3;B4DJL6;Q96SY0","1;1;1;1","1;1;1;1","1;1;1;1","Integrator complex subunit 14;Integrator complex subunit 14;Integrator complex subunit 14;Integrator complex subunit 14",4,1,1,1
"577","B4DJV2;O75390;A0A0C4DGI3;H0YIC4;F8VPF9;F8VPA1;F8VTT8;F8W1S4;F8W4S1;H0YH82;F8W642;F8VZK9;F8VX07;F8VRP1;F8VX68;F8VWQ5;F8VRI6;F8VR34;F8W0J2;F8VP03;F8VU34","B4DJV2;O75390;A0A0C4DGI3;H0YIC4;F8VPF9;F8VPA1;F8VTT8;F8W1S4;F8W4S1;H0YH82;F8W642;F8VZK9;F8VX07;F8VRP1;F8VX68;F8VWQ5;F8VRI6;F8VR34;F8W0J2;F8VP03;F8VU34","B4DJV2;O75390;A0A0C4DGI3","10;10;9;4;4;4;4;4;4;4;3;3;3;3;3;2;2;2;1;1;1","10;10;9;4;4;4;4;4;4;4;3;3;3;3;3;2;2;2;1;1;1","9;9;9;4;4;4;3;4;3;4;3;3;3;3;3;1;2;1;0;0;0","Citrate synthase;Citrate synthase, mitochondrial;Citrate synthase",21,10,10,9
"578","B4DKY1;P49589;C9JLN0;E9PRS8","B4DKY1;P49589;C9JLN0;E9PRS8","B4DKY1;P49589","17;17;1;1","17;17;1;1","16;16;0;0","Cysteine--tRNA ligase, cytoplasmic;Cysteine--tRNA ligase, cytoplasmic",4,17,17,16
"579","B4DL54;P49356","B4DL54;P49356","B4DL54;P49356","2;2","2;2","2;2","Protein farnesyltransferase subunit beta;Protein farnesyltransferase subunit beta",2,2,2,2
"580","B8ZZF7;B4DLP0;O00338","B8ZZF7;B4DLP0;O00338","B8ZZF7;B4DLP0;O00338","1;1;1","1;1;1","1;1;1","Sulfotransferase;Sulfotransferase;Sulfotransferase 1C2",3,1,1,1
"581","B4DLR8;P15559;H3BNV2","B4DLR8;P15559;H3BNV2","B4DLR8;P15559;H3BNV2","10;10;8","10;10;8","2;2;2","NAD(P)H dehydrogenase [quinone] 1;NAD(P)H dehydrogenase [quinone] 1;NAD(P)H dehydrogenase [quinone] 1",3,10,10,2
"582","B4DR61;P61619;F8W776;Q8TC24;Q9H9S3;H7C1Q9;C9JXC6;H7C069;A6NK38;F2Z2C7;A6NIF9;C9JJV4;H7C1S8","B4DR61;P61619;F8W776;Q8TC24;Q9H9S3;H7C1Q9;C9JXC6;H7C069;A6NK38;F2Z2C7;A6NIF9;C9JJV4;H7C1S8","B4DR61;P61619;F8W776;Q8TC24;Q9H9S3","12;12;7;7;7;4;4;4;4;4;4;4;2","12;12;7;7;7;4;4;4;4;4;4;4;2","12;12;7;7;7;4;4;4;4;4;4;4;2","Protein transport protein Sec61 subunit alpha isoform 1;Protein transport protein Sec61 subunit alpha isoform 1;Protein transport protein Sec61 subunit alpha isoform 2;Protein transport protein Sec61 subunit alpha isoform 2;Protein transport protein Sec61 ",13,12,12,12
"583","B4DR80;Q9Y6E0;H0Y630;Q5JV98;Q5JV99","B4DR80;Q9Y6E0;H0Y630;Q5JV98;Q5JV99","B4DR80;Q9Y6E0;H0Y630;Q5JV98","9;9;7;6;4","9;9;7;6;4","5;5;3;3;2","Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24 (Fragment);Serine/threonine-protein kinase 24 (Fragment)",5,9,9,5
"584","B4DSZ9","B4DSZ9","B4DSZ9","1","1","1","E3 ubiquitin-protein ligase TTC3",1,1,1,1
"585","J3QSB7;B4DUC8;Q13126;F2Z2F3;F8WES2","J3QSB7;B4DUC8;Q13126;F2Z2F3;F8WES2","J3QSB7;B4DUC8;Q13126;F2Z2F3","6;6;6;3;1","6;6;6;3;1","6;6;6;3;1","Purine nucleoside phosphorylase;S-methyl-5-thioadenosine phosphorylase;S-methyl-5-thioadenosine phosphorylase;PNP_UDP_1 domain-containing protein",5,6,6,6
"586","C9JEN3;C9IYT2;F8WDY4;C9IZ27;C9JW19;C9JWV9;B4DUD2;Q969X1","C9JEN3;C9IYT2;F8WDY4;C9IZ27;C9JW19;C9JWV9;B4DUD2;Q969X1","C9JEN3;C9IYT2;F8WDY4;C9IZ27;C9JW19;C9JWV9;B4DUD2;Q969X1","1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1","Protein lifeguard 3 (Fragment);Protein lifeguard 3 (Fragment);Protein lifeguard 3;Protein lifeguard 3 (Fragment);Protein lifeguard 3 (Fragment);Protein lifeguard 3 (Fragment);Protein lifeguard 3;Protein lifeguard 3",8,1,1,1
"587","B4DWA1;I3L4C2;Q9UQB8;I3L3C6;I3L4A3;I3L0Y9;I3L125;I3L327;I3L1C8;I3L2M4","B4DWA1;I3L4C2;Q9UQB8;I3L3C6;I3L4A3;I3L0Y9;I3L125;I3L327;I3L1C8;I3L2M4","B4DWA1;I3L4C2;Q9UQB8;I3L3C6","3;3;3;2;1;1;1;1;1;1","3;3;3;2;1;1;1;1;1;1","3;3;3;2;1;1;1;1;1;1","Brain-specific angiogenesis inhibitor 1-associated protein 2;Brain-specific angiogenesis inhibitor 1-associated protein 2;Brain-specific angiogenesis inhibitor 1-associated protein 2;Brain-specific angiogenesis inhibitor 1-associated protein 2 (Fragment)",10,3,3,3
"588","B4DXZ6;P51114;E9PFF5;E7EU85;C9JAJ4;C9JZE0;C9JY20;C9J5B4;C9IZ22;H7C4S4","B4DXZ6;P51114;E9PFF5;E7EU85;C9JAJ4;C9JZE0;C9JY20;C9J5B4;C9IZ22;H7C4S4","B4DXZ6;P51114;E9PFF5;E7EU85","15;15;11;10;5;2;2;1;1;1","15;15;11;10;5;2;2;1;1;1","12;12;8;7;5;2;2;1;1;1","Fragile X mental retardation syndrome-related protein 1;Fragile X mental retardation syndrome-related protein 1;Fragile X mental retardation syndrome-related protein 1;Fragile X mental retardation syndrome-related protein 1",10,15,15,12
"589","B4DY09;Q12905;X6R6Z1;A0A0A0MRL0","B4DY09;Q12905;X6R6Z1;A0A0A0MRL0","B4DY09;Q12905","11;11;5;4","11;11;5;4","11;11;5;4","Interleukin enhancer-binding factor 2;Interleukin enhancer-binding factor 2",4,11,11,11
"590","H3BPU7;H3BPM5;H3BN01;H3BNY8;H3BT46;B4DYB8;H3BMZ9;H3BPP3;H3BP57;H3BT48;H3BUZ9;F5GX71;H3BPB8;P34949;H3BQX0","H3BPU7;H3BPM5;H3BN01;H3BNY8;H3BT46;B4DYB8;H3BMZ9;H3BPP3;H3BP57;H3BT48;H3BUZ9;F5GX71;H3BPB8;P34949;H3BQX0","H3BPU7;H3BPM5;H3BN01;H3BNY8;H3BT46;B4DYB8;H3BMZ9;H3BPP3;H3BP57;H3BT48;H3BUZ9;F5GX71;H3BPB8;P34949;H3BQX0","2;2;2;2;2;2;2;2;2;2;2;2;2;2;1","2;2;2;2;2;2;2;2;2;2;2;2;2;2;1","2;2;2;2;2;2;2;2;2;2;2;2;2;2;1","Mannose-6-phosphate isomerase (Fragment);Mannose-6-phosphate isomerase (Fragment);Mannose-6-phosphate isomerase (Fragment);Mannose-6-phosphate isomerase (Fragment);Mannose-6-phosphate isomerase (Fragment);Mannose-6-phosphate isomerase;Mannose-6-phosphate i",15,2,2,2
"591","H3BQV3;B4DYU2;Q96MW5;A0A087X1T3;H3BSH5;H3BUN2","H3BQV3;B4DYU2;Q96MW5;A0A087X1T3;H3BSH5;H3BUN2","H3BQV3;B4DYU2;Q96MW5;A0A087X1T3;H3BSH5","3;3;3;2;2;1","3;3;3;2;2;1","3;3;3;2;2;1","Conserved oligomeric Golgi complex subunit 8;Conserved oligomeric Golgi complex subunit 8;Conserved oligomeric Golgi complex subunit 8;Conserved oligomeric Golgi complex subunit 8 (Fragment);Conserved oligomeric Golgi complex subunit 8 (Fragment)",6,3,3,3
"592","B4DYV8;Q8WZ75","B4DYV8;Q8WZ75","B4DYV8;Q8WZ75","2;2","2;2","2;2","Roundabout homolog 4;Roundabout homolog 4",2,2,2,2
"593","Q8NBY1;B4E0Y9;Q9P289;C9JJV0","Q8NBY1;B4E0Y9;Q9P289;C9JJV0","Q8NBY1;B4E0Y9;Q9P289","5;5;5;1","2;2;2;1","1;1;1;0","Serine/threonine-protein kinase 26;Serine/threonine-protein kinase 26;Serine/threonine-protein kinase 26",4,5,2,1
"594","E5RGY0;B4E1G1;Q9BUN8","E5RGY0;B4E1G1;Q9BUN8","E5RGY0;B4E1G1;Q9BUN8","1;1;1","1;1;1","1;1;1","Derlin;Derlin;Derlin-1",3,1,1,1
"596","H0Y9V7;B4E2Q0;P98194;H0Y9S7;H0Y8X9","H0Y9V7;B4E2Q0;P98194;H0Y9S7;H0Y8X9","H0Y9V7;B4E2Q0;P98194;H0Y9S7;H0Y8X9","9;9;9;6;5","9;9;9;6;5","9;9;9;6;5","Calcium-transporting ATPase type 2C member 1 (Fragment);Calcium-transporting ATPase;Calcium-transporting ATPase type 2C member 1;Calcium-transporting ATPase type 2C member 1 (Fragment);Calcium-transporting ATPase type 2C member 1 (Fragment)",5,9,9,9
"597","B4E321;Q13438;F8W0R2;F8W1N0;F8VZI7;F8W1V2","B4E321;Q13438;F8W0R2;F8W1N0;F8VZI7;F8W1V2","B4E321;Q13438;F8W0R2;F8W1N0;F8VZI7;F8W1V2","2;2;1;1;1;1","2;2;1;1;1;1","2;2;1;1;1;1","Protein OS-9;Protein OS-9;Protein OS-9;Protein OS-9;Protein OS-9 (Fragment);Protein OS-9 (Fragment)",6,2,2,2
"598","B5MCF9;O00541;B3KXD6;H7C267","B5MCF9;O00541;B3KXD6;H7C267","B5MCF9;O00541;B3KXD6","9;9;5;1","9;9;5;1","9;9;5;1","Pescadillo homolog;Pescadillo homolog;Pescadillo homolog",4,9,9,9
"599","B5MD17;J3KS05;P83916","B5MD17;J3KS05;P83916","B5MD17;J3KS05;P83916","2;2;2","1;1;1","1;1;1","Chromobox protein homolog 1 (Fragment);Chromobox protein homolog 1 (Fragment);Chromobox protein homolog 1",3,2,1,1
"600","B5MD46;Q9BXI6;F8W9Y7;H7C471;H0Y5R9;H0Y2U5;F8WCD1;H7C1Q1","B5MD46;Q9BXI6;F8W9Y7;H7C471;H0Y5R9;H0Y2U5;F8WCD1;H7C1Q1","B5MD46;Q9BXI6","3;3;1;1;1;1;1;1","3;3;1;1;1;1;1;1","3;3;1;1;1;1;1;1","TBC1 domain family member 10A;TBC1 domain family member 10A",8,3,3,3
"601","B5MDF5;P62826;J3KQE5;F5H018;B4DV51;H0YFC6","B5MDF5;P62826;J3KQE5;F5H018;B4DV51;H0YFC6","B5MDF5;P62826;J3KQE5;F5H018;B4DV51","16;16;15;13;8;7","16;16;15;13;8;7","16;16;15;13;8;7","GTP-binding nuclear protein Ran;GTP-binding nuclear protein Ran;GTP-binding nuclear protein Ran (Fragment);GTP-binding nuclear protein Ran (Fragment);GTP-binding nuclear protein Ran",6,16,16,16
"602","Q99613;B5ME19;H3BPE3;H3BPE4;H3BTY8","Q99613;B5ME19;H3BPE3;H3BPE4;H3BTY8","Q99613;B5ME19","21;21;3;3;2","21;21;3;3;2","21;21;3;3;2","Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein",5,21,21,21
"603","E7EW69;E7EX04;B5ME97;Q9P0V9;F5GYV2;F5H1F2","E7EW69;E7EX04;B5ME97;Q9P0V9;F5GYV2;F5H1F2","E7EW69;E7EX04;B5ME97;Q9P0V9","4;4;4;4;1;1","2;2;2;2;1;1","2;2;2;2;1;1","Septin-10;Septin-10;Septin 10, isoform CRA_c;Septin-10",6,4,2,2
"605","G3V195;B7WPE2;Q32P44;G3V1D0;H0Y3M3;H7C355","G3V195;B7WPE2;Q32P44;G3V1D0;H0Y3M3;H7C355","G3V195;B7WPE2;Q32P44;G3V1D0;H0Y3M3","8;8;8;4;4;2","8;8;8;4;4;2","8;8;8;4;4;2","Echinoderm microtubule associated protein like 3, isoform CRA_c;Echinoderm microtubule associated protein like 3, isoform CRA_e;Echinoderm microtubule-associated protein-like 3;Echinoderm microtubule associated protein like 3, isoform CRA_f;Echinoderm micr",6,8,8,8
"607","B7Z2L0;H0Y7N8;C9JTE9;H7C5E2;Q9UHQ4;C9IYK6","B7Z2L0;H0Y7N8;C9JTE9;H7C5E2;Q9UHQ4;C9IYK6","B7Z2L0;H0Y7N8;C9JTE9;H7C5E2;Q9UHQ4;C9IYK6","2;2;2;2;2;1","2;2;2;2;2;1","2;2;2;2;2;1","B-cell receptor-associated protein 29;B-cell receptor-associated protein 29 (Fragment);B-cell receptor-associated protein 29 (Fragment);B-cell receptor-associated protein 29 (Fragment);B-cell receptor-associated protein 29;B-cell receptor-associated protei",6,2,2,2
"608","B7Z2R7;Q5T8D3;X6RDD7;Q5T8E0","B7Z2R7;Q5T8D3;X6RDD7;Q5T8E0","B7Z2R7;Q5T8D3;X6RDD7;Q5T8E0","4;3;2;2","4;3;2;2","4;3;2;2","Acyl-CoA-binding domain-containing protein 5;Acyl-CoA-binding domain-containing protein 5;Acyl-CoA-binding domain-containing protein 5 (Fragment);Acyl-CoA-binding domain-containing protein 5 (Fragment)",4,4,4,4
"609","F5H3S6;B7Z2U2;Q6ZVM7","F5H3S6;B7Z2U2;Q6ZVM7","F5H3S6;B7Z2U2;Q6ZVM7","2;2;2","2;2;2","2;2;2","TOM1-like protein 2;TOM1-like protein 2;TOM1-like protein 2",3,2,2,2
"610","B7Z4M1","B7Z4M1","B7Z4M1","2","1","1","Reticulon",1,2,1,1
"611","B7Z524;H0YDX7;J3QT46;Q9Y450;E9PS53;H0YES5;E9PHZ9","B7Z524;H0YDX7;J3QT46;Q9Y450;E9PS53;H0YES5;E9PHZ9","B7Z524;H0YDX7;J3QT46;Q9Y450","3;3;3;3;1;1;1","3;3;3;3;1;1;1","3;3;3;3;1;1;1","HBS1-like protein;HBS1-like protein (Fragment);HBS1-like protein;HBS1-like protein",7,3,3,3
"612","F5H7S3;H7BYY1;B7Z596;H0YKJ4;H0YK48;A0A494BZZ2;H0YL42;H0YN06","F5H7S3;H7BYY1;B7Z596;H0YKJ4;H0YK48;A0A494BZZ2;H0YL42;H0YN06","F5H7S3;H7BYY1;B7Z596;H0YKJ4;H0YK48;A0A494BZZ2","10;10;10;9;9;9;2;1","2;2;2;1;1;1;1;1","1;1;1;1;1;1;0;1","Tropomyosin alpha-1 chain;Tropomyosin 1 (Alpha), isoform CRA_m;Tropomyosin alpha-1 chain;Tropomyosin 1 (Alpha), isoform CRA_b;Tropomyosin alpha-1 chain;Tropomyosin alpha-1 chain",8,10,2,1
"613","B7Z5N5;Q15796;K7EJX0;O15198;K7ERC7;H3BVD1;H0YMP2;H0YL71;K7ESI8;K7EL92;H3BP09","B7Z5N5;Q15796;K7EJX0;O15198;K7ERC7;H3BVD1;H0YMP2;H0YL71;K7ESI8;K7EL92;H3BP09","B7Z5N5;Q15796;K7EJX0;O15198","5;5;3;3;2;2;1;1;1;1;1","3;3;2;1;1;1;1;1;1;1;1","2;2;1;0;1;0;0;0;1;1;0","Mothers against decapentaplegic homolog;Mothers against decapentaplegic homolog 2;Mothers against decapentaplegic homolog 2 (Fragment);Mothers against decapentaplegic homolog 9",11,5,3,2
"614","B7Z5R6;Q14596","B7Z5R6;Q14596","B7Z5R6;Q14596","2;2","2;2","2;2","Next to BRCA1 gene 1 protein;Next to BRCA1 gene 1 protein",2,2,2,2
"615","B7Z637;Q8IUR7;C9J8P8;C9JAA7;C9JBY2;C9J2I1;G5E9V7;G5E9V6","B7Z637;Q8IUR7;C9J8P8;C9JAA7;C9JBY2;C9J2I1;G5E9V7;G5E9V6","B7Z637;Q8IUR7;C9J8P8;C9JAA7;C9JBY2;C9J2I1;G5E9V7;G5E9V6","2;2;1;1;1;1;1;1","2;2;1;1;1;1;1;1","2;2;1;1;1;1;1;1","Armadillo repeat containing 8, isoform CRA_g;Armadillo repeat-containing protein 8;Armadillo repeat-containing protein 8 (Fragment);Armadillo repeat-containing protein 8 (Fragment);Armadillo repeat-containing protein 8 (Fragment);Armadillo repeat-containin",8,2,2,2
"616","B7Z6D5;Q96GQ7;A0A087X059","B7Z6D5;Q96GQ7;A0A087X059","B7Z6D5;Q96GQ7","10;10;3","10;10;3","10;10;3","Probable ATP-dependent RNA helicase DDX27;Probable ATP-dependent RNA helicase DDX27",3,10,10,10
"617","B7Z7F3;Q9H6Z4;K7ENJ2;K7EID7;K7ENB9;K7EPW1;K7EN31","B7Z7F3;Q9H6Z4;K7ENJ2;K7EID7;K7ENB9;K7EPW1;K7EN31","B7Z7F3;Q9H6Z4;K7ENJ2;K7EID7;K7ENB9;K7EPW1;K7EN31","2;2;1;1;1;1;1","2;2;1;1;1;1;1","2;2;1;1;1;1;1","Ran-binding protein 3;Ran-binding protein 3;Ran-binding protein 3;Ran-binding protein 3;Ran-binding protein 3;Ran-binding protein 3;Ran-binding protein 3 (Fragment)",7,2,2,2
"618","B7Z934;Q9HAK2","B7Z934;Q9HAK2","B7Z934;Q9HAK2","1;1","1;1","1;1","Transcription factor COE2;Transcription factor COE2",2,1,1,1
"619","B7Z9I1;Q5T4U5;P11310;E9PJM9","B7Z9I1;Q5T4U5;P11310;E9PJM9","B7Z9I1;Q5T4U5;P11310","6;6;6;2","6;6;6;2","6;6;6;2","Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial;Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain, isoform CRA_a;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",4,6,6,6
"620","P0CG08;B7ZAQ6;A0A087WW78;A0A087WW82;U3KPV2;E9PKY3","P0CG08;B7ZAQ6;A0A087WW78;A0A087WW82;U3KPV2;E9PKY3","P0CG08;B7ZAQ6;A0A087WW78;A0A087WW82;U3KPV2;E9PKY3","2;2;1;1;1;1","2;2;1;1;1;1","2;2;1;1;1;1","Golgi pH regulator B;Golgi pH regulator A;Golgi pH regulator B (Fragment);Golgi pH regulator B (Fragment);Golgi pH regulator B (Fragment);Golgi pH regulator A",6,2,2,2
"621","B7ZL88;Q8N8Q8","B7ZL88;Q8N8Q8","B7ZL88;Q8N8Q8","1;1","1;1","1;1","COX18 protein;Cytochrome c oxidase assembly protein COX18, mitochondrial",2,1,1,1
"622","B8ZZ77;H7BZ14;Q9H2H8","B8ZZ77;H7BZ14;Q9H2H8","B8ZZ77;H7BZ14;Q9H2H8","2;2;2","2;2;2","2;2;2","Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase (Fragment);Peptidyl-prolyl cis-trans isomerase-like 3",3,2,2,2
"623","B8ZZA8;B8ZZC5","B8ZZA8;B8ZZC5","B8ZZA8;B8ZZC5","5;4","4;4","4;4","Glutaminase kidney isoform, mitochondrial;Glutaminase kidney isoform, mitochondrial",2,5,4,4
"624","B8ZZB8;Q96F85","B8ZZB8;Q96F85","B8ZZB8;Q96F85","1;1","1;1","1;1","CB1 cannabinoid receptor-interacting protein 1;CB1 cannabinoid receptor-interacting protein 1",2,1,1,1
"625","B8ZZF5;C9J5M4;Q9H8M9","B8ZZF5;C9J5M4;Q9H8M9","B8ZZF5;C9J5M4;Q9H8M9","1;1;1","1;1;1","1;1;1","Protein eva-1 homolog A;Protein eva-1 homolog A (Fragment);Protein eva-1 homolog A",3,1,1,1
"626","C9J128;C9J2Z6;C9J173;B8ZZF6;E7ET59;E7EUX4;E7ENF2;P49441","C9J128;C9J2Z6;C9J173;B8ZZF6;E7ET59;E7EUX4;E7ENF2;P49441","C9J128;C9J2Z6;C9J173;B8ZZF6;E7ET59;E7EUX4;E7ENF2;P49441","1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1","1;1;1;1;1;1;1;1","Inositol polyphosphate 1-phosphatase (Fragment);Inositol polyphosphate 1-phosphatase (Fragment);Inositol polyphosphate 1-phosphatase (Fragment);Inositol polyphosphate 1-phosphatase (Fragment);Inositol polyphosphate 1-phosphatase (Fragment);Inositol polypho",8,1,1,1
"627","B8ZZF8;Q9Y4Y9","B8ZZF8;Q9Y4Y9","B8ZZF8;Q9Y4Y9","1;1","1;1","1;1","U6 snRNA-associated Sm-like protein LSm5;U6 snRNA-associated Sm-like protein LSm5",2,1,1,1
"628","B8ZZG1;Q9NZW5;C9J4Q3","B8ZZG1;Q9NZW5;C9J4Q3","B8ZZG1;Q9NZW5","4;4;1","4;4;1","4;4;1","MAGUK p55 subfamily member 6;MAGUK p55 subfamily member 6",3,4,4,4
